precision,recall,f1-score,support
1.0,1.0,1.0,13.0
0.75,1.0,0.8571428571428571,6.0
1.0,0.8181818181818182,0.9,11.0
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.9166666666666666,0.9393939393939394,0.919047619047619,30.0
0.95,0.9333333333333333,0.9347619047619048,30.0
